City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
52,Barrow,AR,2019-11-10 05:45:48,-38.31,-60.23,45.64,75,0,7.43,clear sky,0.0,0.0
53,Broken Hill,AU,2019-11-10 05:50:42,-31.97,141.45,77.0,15,0,10.29,clear sky,0.0,0.0
54,Bethanien,NA,2019-11-10 05:50:42,-26.5,17.16,66.33,26,0,5.26,clear sky,0.0,0.0
55,Naze,NG,2019-11-10 05:50:43,5.43,7.07,76.17,92,100,0.94,light rain,0.69,0.0
56,Busselton,AU,2019-11-10 05:50:43,-33.64,115.35,82.99,36,15,12.41,few clouds,0.0,0.0
57,Arraial Do Cabo,BR,2019-11-10 05:50:44,-22.97,-42.02,73.04,93,100,14.65,overcast clouds,0.0,0.0
58,Port Townsend,US,2019-11-10 05:50:44,48.12,-122.76,52.0,100,90,2.04,mist,0.0,0.0
59,Taltal,CL,2019-11-10 05:46:05,-25.41,-70.49,51.93,92,46,7.43,scattered clouds,0.0,0.0
60,Gat,SN,2019-11-10 05:50:45,14.69,-16.54,71.6,88,36,13.87,scattered clouds,0.0,0.0
61,Esperance,AU,2019-11-10 05:50:46,-33.86,121.89,80.6,39,34,23.04,scattered clouds,0.0,0.0
62,Punta Arenas,CL,2019-11-10 05:50:46,-53.16,-70.91,37.4,69,33,10.29,scattered clouds,0.0,0.0
63,Kokopo,PG,2019-11-10 05:50:47,-4.34,152.27,75.06,89,98,7.25,heavy intensity rain,26.25,0.0
64,Miraflores,PE,2019-11-10 05:50:48,-16.39,-71.52,57.2,41,100,2.37,overcast clouds,0.0,0.0
65,Kozhva,RU,2019-11-10 05:50:48,65.11,57.05,4.64,92,60,6.38,broken clouds,0.0,0.0
66,Shimoda,JP,2019-11-10 05:50:49,34.7,138.93,66.2,52,20,10.29,few clouds,0.0,0.0
67,Atuona,PF,2019-11-10 05:50:49,-9.8,-139.03,79.79,80,2,14.25,light rain,0.25,0.0
68,Morondava,MG,2019-11-10 05:50:49,-20.3,44.28,96.22,33,2,3.06,clear sky,0.0,0.0
69,Hasaki,JP,2019-11-10 05:50:50,35.73,140.83,69.01,59,20,3.36,few clouds,0.0,0.0
70,Mana,NG,2019-11-10 05:50:51,13.03,5.27,76.06,30,1,4.03,clear sky,0.0,0.0
